text,where,bg,cs,da,de,el,es,fi,fr,hi,hr,hu,id,it,ja,ko,ms,nb,nl,pl,pt,pt-BR,ro,ru,sk,sr,sv,th,tr,uk,vi,zh
Long-press a word while you read and it lands in your vocabulary.,docs/_includes/pages/download.html,"Задръжте пръст върху дума, докато четете, и тя вече е в речника ви.",Podržte při čtení prst na slově a máte ho ve slovní zásobě.,"Hold fingeren på et ord, mens du læser, så ligger det i dit ordforråd.","Drücken Sie beim Lesen lange auf ein Wort, um es in Ihrem Vokabular zu speichern.",Πατήστε παρατεταμένα μια λέξη καθώς διαβάζετε και αποθηκεύεται αμέσως στο λεξιλόγιό σας.,Mantén presionada una palabra mientras lees y se guardará en tu vocabulario.,"Paina sanaa pitkään lukiessasi, niin se päätyy sanastoosi.",Appuyez longuement sur un mot pendant votre lecture pour l'ajouter à votre vocabulaire.,पढ़ते समय किसी शब्द को देर तक दबाएं और वह आपकी शब्दावली में शामिल हो जाएगा।,Dulje pritisnite riječ dok čitate i već je u vašem vokabularu.,"Nyomd hosszan a szót olvasás közben, és már a szókincsedben is van.",Tekan lama suatu kata saat Anda membaca dan kata tersebut akan tersimpan di kosakata Anda.,Tieni premuta una parola mentre leggi e verrà salvata nel tuo vocabolario.,読書中に単語を長押しするだけで、語彙リストに追加されます。,독서 중 단어를 긴 터치하면 어휘장에 바로 저장됩니다.,Tekan lama pada perkataan sewaktu membaca dan ia terus masuk ke dalam kosa kata anda.,"Hold fingeren på et ord mens du leser, så ligger det i ordforrådet ditt.",Druk lang op een woord tijdens het lezen en het wordt toegevoegd aan je woordenschat.,"Przytrzymaj słowo podczas czytania, a trafi ono do Twojego słownictwa.",Mantenha o dedo numa palavra enquanto lê e ela vai parar ao seu vocabulário.,Segure o dedo numa palavra enquanto lê e ela já cai no seu vocabulário.,Ține apăsat pe un cuvânt în timp ce citești și ajunge direct în vocabularul tău.,"Зажмите слово во время чтения, и оно мгновенно попадет в ваш словарь.",Podržte pri čítaní prst na slove a máte ho v slovnej zásobe.,Дуже притисните реч док читате и она је већ у вашем речнику.,Håll ned ett ord medan du läser så hamnar det i ditt ordförråd.,กดค้างที่คำระหว่างอ่าน แล้วคำนั้นก็เข้าคลังคำศัพท์ของคุณทันที,Okurken bir kelimeye uzun basın ve doğrudan kelime listenize eklensin.,Затисніть слово під час читання — і воно потрапить до вашого словника.,Nhấn giữ một từ trong khi đọc để lưu ngay vào vốn từ của bạn.,阅读时长按单词，即可直接加入您的词汇库。
All releases and changelogs on GitHub,docs/_includes/pages/download.html,Всички издания и описания на промените са в GitHub,Všechna vydání a seznamy změn najdete na GitHubu,Alle udgivelser og ændringslogge ligger på GitHub,Alle Veröffentlichungen und Änderungsprotokolle auf GitHub,Όλες οι εκδόσεις και τα αρχεία αλλαγών στο GitHub,Todas las versiones y registros de cambios en GitHub,Kaikki julkaisut ja muutoslokit löytyvät GitHubista,Toutes les versions et journaux de modifications sur GitHub,GitHub पर सभी रिलीज़ और परिवर्तन लॉग,Sva izdanja i popise promjena naći ćete na GitHubu,Az összes kiadás és változásnapló a GitHubon,Semua rilis dan log perubahan di GitHub,Tutte le versioni e le cronologie delle modifiche su GitHub,すべてのリリース情報と更新履歴は GitHub で確認可能,GitHub에서 모든 릴리스 및 변경 사항 확인,Semua keluaran dan log perubahan ada di GitHub,Alle utgivelser og endringslogger ligger på GitHub,Alle releases en changelogs op GitHub,Wszystkie wydania i dzienniki zmian na GitHubie,Todas as versões e registos de alterações estão no GitHub,Todas as versões e os registros de mudanças estão no GitHub,Toate versiunile și listele de modificări sunt pe GitHub,Все релизы и списки изменений на GitHub,Všetky vydania a zoznamy zmien nájdete na GitHube,Сва издања и спискове измена наћи ћете на GitHub-у,Alla releaser och ändringsloggar på GitHub,ดูรุ่นทั้งหมดและบันทึกการเปลี่ยนแปลงได้ที่ GitHub,Tüm sürümler ve değişiklik günlükleri GitHub'da,Усі випуски та журнали змін на GitHub,Tất cả các bản phát hành và nhật ký thay đổi trên GitHub,在 GitHub 上查看所有发布版本与更新日志
Free · Open-source vocabulary trainer,docs/_includes/pages/home.html,Безплатен тренажор за думи с отворен код,Trenažér slovíček zdarma a s otevřeným kódem,Gratis ordtræner med åben kildekode,Kostenloser · Open-Source-Vokabeltrainer,Δωρεάν · Εκπαιδευτής λεξιλογίου ανοιχτού κώδικα,Entrenador de vocabulario gratuito y de código abierto,"Ilmainen, avoimen lähdekoodin sanaharjoittelija",Entraîneur de vocabulaire gratuit et open source,मुफ़्त · ओपन-सोर्स शब्दावली ट्रेनर,Besplatan trener riječi otvorenog koda,"Ingyenes, nyílt forráskódú szótanuló",Pelatih kosakata gratis & sumber terbuka,Trainer di vocabolario gratuito e open-source,無料・オープンソースの単語学習ツール,무료 · 오픈 소스 어휘 학습기,"Pelatih kosa kata percuma, bersumber terbuka",Gratis ordtrener med åpen kildekode,Gratis · Open-source woordenschattrainer,Darmowy program open-source do nauki słownictwa,Treinador de vocabulário gratuito e de código aberto,Treinador de vocabulário grátis e de código aberto,"Antrenor de vocabular gratuit, cu sursă deschisă",Бесплатный тренажер словарного запаса с открытым исходным кодом,Tréner slovíčok zadarmo a s otvoreným kódom,Бесплатан тренер речи отвореног кода,Gratis · Gloseövare med öppen källkod,เครื่องมือฝึกคำศัพท์ฟรี โอเพนซอร์ส,Ücretsiz · Açık kaynaklı kelime çalışma uygulaması,Безкоштовний тренажер лексики з відкритим кодом,Trình luyện từ vựng miễn phí · Mã nguồn mở,免费 · 开源词汇训练工具
"Build a vocabulary that <span class=""accent"">actually stays with you</span>",docs/_includes/pages/home.html,"Изградете речников запас, който <span class=""accent"">наистина остава с вас</span>","Vybudujte si slovní zásobu, která <span class=""accent"">vám opravdu zůstane</span>","Byg et ordforråd, der <span class=""accent"">faktisk bliver hængende</span>","Bauen Sie ein Vokabular auf, das <span class=""accent"">wirklich hängen bleibt</span>","Χτίστε ένα λεξιλόγιο που <span class=""accent"">μένει πραγματικά μαζί σας</span>","Construye un vocabulario que <span class=""accent"">realmente se quede contigo</span>","Kartuta sanasto, joka <span class=""accent"">todella jää mieleen</span>","Développez un vocabulaire qui <span class=""accent"">reste vraiment gravé en mémoire</span>","ऐसी शब्दावली बनाएं जो <span class=""accent"">वास्तव में आपके साथ रहे</span>","Izgradite vokabular koji <span class=""accent"">stvarno ostaje s vama</span>","Építs olyan szókincset, amely <span class=""accent"">tényleg megmarad</span>","Bangun kosakata yang <span class=""accent"">benar-benar melekat pada Anda</span>","Costruisci un vocabolario che <span class=""accent"">ti resta davvero in mente</span>","<span class=""accent"">一生忘れない</span>語彙力を身につけよう","<span class=""accent"">평생 기억에 남는</span> 어휘를 구축하세요","Bina kosa kata yang <span class=""accent"">benar-benar melekat</span>","Bygg et ordforråd som <span class=""accent"">faktisk sitter</span>","Bouw een woordenschat op die <span class=""accent"">je echt bijblijft</span>","Buduj słownictwo, które <span class=""accent"">naprawdę z Tobą zostanie</span>","Construa um vocabulário que <span class=""accent"">fica mesmo consigo</span>","Construa um vocabulário que <span class=""accent"">fica mesmo com você</span>","Construiește-ți un vocabular care <span class=""accent"">chiar rămâne cu tine</span>","Сформируйте словарный запас, который <span class=""accent"">действительно останется с вами</span>","Vybudujte si slovnú zásobu, ktorá <span class=""accent"">vám naozaj zostane</span>","Изградите речник који <span class=""accent"">заиста остаје с вама</span>","Bygg ett ordförråd som <span class=""accent"">faktiskt stannar kvar</span>","สร้างคลังคำศัพท์ที่ <span class=""accent"">อยู่กับคุณได้จริง</span>","Gerçekten <span class=""accent"">akılda kalan</span> bir kelime bilgisi oluşturun","Створюйте словниковий запас, який <span class=""accent"">справді залишається з вами</span>","Xây dựng vốn từ vựng <span class=""accent"">thực sự ghi nhớ lâu dài</span>","打造<span class=""accent"">真正牢记不忘</span>的个人词汇库"
"Save words as you discover them, get instant translations, practise with audio, and track every word from first encounter to mastery. Read real articles in the app and add words straight from the page — on your computer, your phone and your e-reader.",docs/_includes/pages/home.html,"Запазвайте думите в мига, в който ги срещнете, получавайте превод начаса, упражнявайте се с озвучаване и следете всяка дума от първата среща до пълното ѝ овладяване. Четете истински статии直 в приложението и добавяйте думи направо от страницата — на компютъра, на телефона и на електронния си четец.","Ukládejte slova ve chvíli, kdy na ně narazíte, překlad máte hned, procvičujte s poslechem a sledujte každé slovo od prvního setkání až po zvládnutí. Čtěte skutečné články přímo v aplikaci a přidávejte slova rovnou ze stránky — v počítači, v telefonu i ve čtečce.","Gem ordene i samme øjeblik, du støder på dem, få oversættelsen med det samme, træn med lyd, og følg hvert ord fra første møde til det sidder helt fast. Læs rigtige artikler inde i appen, og tag ord med direkte fra siden — på computeren, telefonen og e-bogslæseren.","Speichern Sie Wörter beim Entdecken, erhalten Sie sofortige Übersetzungen, üben Sie mit Audio und verfolgen Sie jedes Wort vom ersten Sehen bis zur Beherrschung. Lesen Sie echte Artikel in der App und fügen Sie Wörter direkt von der Seite hinzu – auf Ihrem Computer, Smartphone und E-Reader.","Αποθηκεύστε λέξεις καθώς τις ανακαλύπτετε, λάβετε άμεσες μεταφράσεις, εξασκηθείτε με ήχο και παρακολουθήστε κάθε λέξη από την πρώτη επαφή έως την πλήρη κατάκτηση. Διαβάστε πραγματικά άρθρα στην εφαρμογή — στον υπολογιστή, το κινητό και το e-reader σας.","Guarda palabras a medida que las descubres, obtén traducciones instantáneas, practica con audio y haz un seguimiento de cada palabra desde el primer contacto hasta dominarla. Lee artículos reales en la aplicación y añade palabras directamente desde la página: en tu ordenador, teléfono y e-reader.","Tallenna sanat sillä hetkellä, kun ne vastaan tulevat, saat käännöksen heti, harjoittele äänen kanssa ja seuraa jokaista sanaa ensikohtaamisesta täyteen hallintaan. Lue oikeita artikkeleita sovelluksessa ja poimi sanat suoraan sivulta — tietokoneella, puhelimella ja lukulaitteella.","Enregistrez des mots au fur et meure de vos découvertes, obtenez des traductions instantanées, entraînez-vous avec l'audio et suivez chaque mot du premier coup d'œil jusqu'à sa maîtrise. Lisez de vrais articles dans l'application et ajoutez des mots directement depuis la page — sur votre ordinateur, téléphone et liseuse.","जैसे ही आप शब्दों की खोज करते हैं उन्हें सहेजें, तुरंत अनुवाद प्राप्त करें, ऑडियो के साथ अभ्यास करें, और पहली मुलाकात से लेकर महारत हासिल करने तक हर शब्द को ट्रैक करें। ऐप में वास्तविक लेख पढ़ें और सीधे पेज से शब्द जोड़ें — अपने कंप्यूटर, अपने फोन और अपने ई-रीडर पर।","Spremajte riječi u trenutku kad na njih naiđete, prijevod dobivate odmah, vježbajte uz izgovor i pratite svaku riječ od prvog susreta do potpunog usvajanja. Čitajte prave članke u samoj aplikaciji i dodajte riječi ravno sa stranice — na računalu, na mobitelu i na e-čitaču.","Mentsd a szavakat abban a pillanatban, ahogy rájuk találsz, a fordítás azonnal megérkezik, gyakorolj hanggal, és kísérd végig minden szó útját az első találkozástól a teljes elsajátításig. Olvass valódi cikkeket az alkalmazásban, és vegyél fel szavakat egyenesen az oldalról — a számítógépeden, a telefonodon és az e-könyv-olvasódon.","Simpan kata-kata saat Anda menemukannya, dapatkan terjemahan instan, berlatih dengan audio, dan lacak setiap kata dari pertemuan pertama hingga mahir. Baca artikel asli di dalam aplikasi dan tambahkan kata langsung dari halaman — di komputer, ponsel, dan e-reader Anda.","Salva le parole man mano che le trovi, ottieni traduzioni istantanee, esercitati con l'audio e segui ogni parola dal primo incontro fino al completo apprendimento. Leggi articoli reali nell'app e aggiungi parole direttamente dalla pagina — sul tuo computer, smartphone ed e-reader.",新しい単語に出会ったら presentation その場で保存。即座に翻訳し、音声で練習、出会いから定着までしっかり記録します。アプリ内で実際の記事を読み、ページから直接単語を追加 — PC、スマホ、電子書籍リーダーすべてで活用できます。,"단어를 발견하는 즉시 저장하고, 실시간 번역을 확인하며, 오디오로 연습하고, 첫 만남부터 완벽 숙달까지 모든 단어를 추적하세요. 앱에서 실제 기사를 읽고 페이지에서 바로 단어를 추가할 수 있습니다 — 컴퓨터, 휴대폰, 전자책 리더에서 모두 가능합니다.","Simpan perkataan sebaik sahaja anda menemuinya, dapatkan terjemahan serta-merta, berlatih dengan audio, dan ikuti setiap perkataan dari pertemuan pertama sehingga benar-benar dikuasai. Baca artikel sebenar dalam aplikasi dan tambah perkataan terus daripada halaman — pada komputer, telefon dan pembaca e-buku anda.","Lagre ordene i samme øyeblikk du støter på dem, få oversettelsen med én gang, øv med lyd, og følg hvert ord fra første møte til det sitter helt. Les ekte artikler inne i appen, og ta med ord rett fra siden — på datamaskinen, telefonen og e-bokleseren.","Sla woorden op zodra je ze tegenkomt, krijg direct vertalingen, oefen met audio en volg elk woord van eerste ontmoeting tot beheersing. Lees echte artikelen in de app en voeg woorden rechtstreeks toe vanaf de pagina — op je computer, telefoon en e-reader.","Zapisuj słowa w miarę ich odkrywania, uzyskuj natychmiastowe tłumaczenia, ćwicz z nagraniami audio i śledź każde słowo od pierwszego zetknięcia do opanowania. Czytaj prawdziwe artykuły w aplikacji i dodawaj słowa bezpośrednio ze strony — na komputerze, telefonie i e-czytniku.","Guarde as palavras no momento em que dá com elas, receba a tradução de imediato, pratique com áudio e acompanhe cada palavra desde o primeiro encontro até ao domínio pleno. Leia artigos a sério dentro da aplicação e acrescente palavras diretamente da página — no computador, no telemóvel e no leitor de livros digitais.","Salve as palavras no momento em que você esbarra nelas, receba a tradução na hora, pratique com áudio e acompanhe cada palavra do primeiro encontro até o domínio completo. Leia artigos de verdade dentro do app e adicione palavras direto da página — no computador, no celular e no leitor de e-books.","Salvează cuvintele în clipa în care le întâlnești, primești traducerea pe loc, exersează cu sunet și urmărește fiecare cuvânt de la prima întâlnire până la stăpânirea deplină. Citește articole adevărate chiar în aplicație și adaugă cuvinte direct din pagină — pe computer, pe telefon și pe e-reader.","Сохраняйте слова по мере чтения, получайте мгновенный перевод, тренируйтесь с аудио и отслеживайте путь каждого слова от знакомства до полного освоения. Читайте настоящие статьи прямо в приложении и добавляйте слова со страницы — на компьютере, телефоне и ридере.","Ukladajte slová vo chvíli, keď na ne natrafíte, preklad máte hneď, precvičujte s počúvaním a sledujte každé slovo od prvého stretnutia až po zvládnutie. Čítajte skutočné články priamo v aplikácii a pridávajte slová rovno zo stránky — v počítači, v telefóne aj v čítačke.","Чувајте речи у тренутку када на њих наиђете, превод добијате одмах, вежбајте уз изговор и пратите сваку реч од првог сусрета до потпуног усвајања. Читајте праве чланке у самој апликацији и додајте речи право са странице — на рачунару, на телефону и на е-читачу.","Spara ord när du upptäcker dem, få omedelbara översättningar, öva med ljud och följ varje ord från första mötet till bemästring. Läs riktiga artiklar i appen och lägg till ord direkt från sidan — på din dator, telefon och e-läsare.",บันทึกคำได้ทันทีที่เจอ พร้อมคำแปลในพริบตา ฝึกด้วยเสียง และติดตามทุกคำตั้งแต่เจอครั้งแรกจนถึงขั้นเชี่ยวชาญ อ่านบทความจริงในแอปแล้วเก็บคำจากหน้านั้นได้เลย — ทั้งบนคอมพิวเตอร์ มือถือ และเครื่องอ่านอีบุ๊กของคุณ,"Yeni kelimeleri keşfettikçe kaydedin, anında çeviri alın, sesli alıştırma yapın ve ilk karşılaşmadan uzmanlaşmaya kadar her kelimeyi takip edin. Uygulama içinde gerçek makaleler okuyun ve doğrudan sayfadan kelimeler ekleyin — bilgisayarınızda, telefonunuzda ve e-okuyucunuzda.","Зберігайте нові слова, отримуйте миттєві переклади, закріплюйте лексику за допомогою аудіо та відстежуйте шлях кожного слова від першого знайомства до повного засвоєння. Читайте справжні статті прямо в застосунку й додавайте слова зі сторінки — на комп’ютері, смартфоні та е-читачі.","Lưu từ ngay khi bạn bắt gặp, nhận bản dịch tức thì, luyện tập với âm thanh và theo dõi từng từ từ lần đầu gặp cho đến khi thành thạo. Đọc các bài báo thực tế trong ứng dụng và thêm từ trực tiếp từ trang web — trên máy tính, điện thoại và máy đọc sách.",在阅读中随时保存新词，获取即时翻译，配合语音练习，并追踪每个单词从初识到精通的全过程。直接在应用内阅读真实文章并从页面添加单词——支持电脑、手机及电子书阅读器。
Download for Windows,docs/_includes/pages/home.html,Изтегляне за Windows,Stáhnout pro Windows,Hent til Windows,Für Windows herunterladen,Λήψη για Windows,Descargar para Windows,Lataa Windowsille,Télécharger pour Windows,Windows के लिए डाउनलोड करें,Preuzmi za Windows,Letöltés Windowsra,Unduh untuk Windows,Scarica per Windows,Windows 版をダウンロード,Windows용 다운로드,Muat turun untuk Windows,Last ned for Windows,Download voor Windows,Pobierz dla Windows,Transferir para Windows,Baixar para Windows,Descarcă pentru Windows,Скачать для Windows,Stiahnuť pre Windows,Преузми за Windows,Ladda ner för Windows,ดาวน์โหลดสำหรับ Windows,Windows için indir,Завантажити для Windows,Tải xuống cho Windows,下载 Windows 版
Download for Linux,docs/_includes/pages/home.html,Изтегляне за Linux,Stáhnout pro Linux,Hent til Linux,Für Linux herunterladen,Λήψη για Linux,Descargar para Linux,Lataa Linuxille,Télécharger pour Linux,Linux के लिए डाउनलोड करें,Preuzmi za Linux,Letöltés Linuxra,Unduh untuk Linux,Scarica per Linux,Linux 版をダウンロード,Linux용 다운로드,Muat turun untuk Linux,Last ned for Linux,Download voor Linux,Pobierz dla Linux,Transferir para Linux,Baixar para Linux,Descarcă pentru Linux,Скачать для Linux,Stiahnuť pre Linux,Преузми за Linux,Ladda ner för Linux,ดาวน์โหลดสำหรับ Linux,Linux için indir,Завантажити для Linux,Tải xuống cho Linux,下载 Linux 版
Download for Android,docs/_includes/pages/home.html,Изтегляне за Android,Stáhnout pro Android,Hent til Android,Für Android herunterladen,Λήψη για Android,Descargar para Android,Lataa Androidille,Télécharger pour Android,Android के लिए डाउनलोड करें,Preuzmi za Android,Letöltés Androidra,Unduh untuk Android,Scarica per Android,Android 版をダウンロード,Android용 다운로드,Muat turun untuk Android,Last ned for Android,Download voor Android,Pobierz dla Androida,Transferir para Android,Baixar para Android,Descarcă pentru Android,Скачать для Android,Stiahnuť pre Android,Преузми за Android,Ladda ner för Android,ดาวน์โหลดสำหรับ Android,Android için indir,Завантажити для Android,Tải xuống cho Android,下载 Android 版
Open web app,docs/_includes/pages/home.html,Отворете уеб приложението,Otevřít webovou aplikaci,Åbn webappen,Web-App öffnen,Άνοιγμα εφαρμογής web,Abrir aplicación web,Avaa verkkosovellus,Ouvrir l'application web,वेब ऐप खोलें,Otvori web aplikaciju,Webalkalmazás megnyitása,Buka aplikasi web,Apri l'app web,Web アプリを開く,웹 앱打开,Buka aplikasi web,Åpne nettappen,Open webapp,Otwórz aplikację internetową,Abrir a aplicação web,Abrir o aplicativo web,Deschide aplicația web,Открыть веб-приложение,Otvoriť webovú aplikáciu,Отвори веб апликацију,Öppna webbapp,เปิดเว็บแอป,Web uygulamasını aç,Відкрити у браузері,Mở ứng dụng web,打开网页版应用
Add a word from any app,docs/_includes/pages/home.html,Добавете дума от кое да е приложение,Přidejte slovo z jakékoli aplikace,Tilføj et ord fra en hvilken som helst app,Wort aus jeder beliebigen App hinzufügen,Προσθήκη λέξης από οποιαδήποτε εφαρμογή,Añade una palabra desde cualquier aplicación,Lisää sana mistä tahansa sovelluksesta,Ajoutez un mot depuis n'importe quelle application,किसी भी ऐप से शब्द जोड़ें,Dodajte riječ iz bilo koje aplikacije,Vegyél fel szót bármelyik alkalmazásból,Tambahkan kata dari aplikasi apa pun,Aggiungi una parola da qualsiasi app,あらゆるアプリから単語を追加,모든 앱에서 단어 추가,Tambah perkataan daripada mana-mana aplikasi,Legg til et ord fra hvilken som helst app,Voeg een woord toe vanuit elke app,Dodaj słowo z dowolnej aplikacji,Acrescente uma palavra a partir de qualquer aplicação,Adicione uma palavra a partir de qualquer aplicativo,Adaugă un cuvânt din orice aplicație,Добавляйте слова из любого приложения,Pridajte slovo z hociktorej aplikácie,Додајте реч из било које апликације,Lägg till ett ord från vilken app som helst,เพิ่มคำจากแอปไหนก็ได้,Herhangi bir uygulamadan kelime ekleyin,Додайте слово з будь-якої програми,Thêm từ từ bất kỳ ứng dụng nào,从任意应用轻松添加生词
Translated the moment you save it,docs/_includes/pages/home.html,"Преведена в мига, в който я запазите",Přeloženo v okamžiku uložení,"Oversat i samme øjeblik, du gemmer det",Sofort beim Speichern übersetzt,Μεταφράζεται τη στιγμή που την αποθηκεύετε,Traducido al instante en que lo guardas,"Käännetty sillä hetkellä, kun tallennat sen",Traduit dès que vous l'enregistrez,आपके द्वारा सहेजे जाते ही अनूदित,Prevedena čim je spremite,"Lefordítva, abban a pillanatban, ahogy elmented",Diterjemahkan saat Anda menyimpannya,Tradotta nell'istante in cui la salvi,保存した瞬間に自動翻訳,저장하는 즉시 번역,Diterjemah sebaik sahaja anda menyimpannya,Oversatt i samme øyeblikk du lagrer det,Vertaald op het moment dat je het opslaat,Przetłumaczone w momencie zapisu,Traduzida no instante em que a guarda,Traduzida no instante em que você salva,Tradus din clipa în care îl salvezi,Перевод в момент сохранения,Preložené v okamihu uloženia,Преведена чим је сачувате,Översätts i samma stund som du sparar det,แปลให้ทันทีที่คุณกดบันทึก,Kaydettiğiniz anda çevrilir,Переклад одразу під час збереження,Được dịch ngay khoảnh khắc bạn lưu,保存瞬间自动完成翻译
AI-assisted definitions,docs/_includes/pages/home.html,Тълкувания с помощта на ИИ,Definice s pomocí AI,Forklaringer skrevet med AI,KI-unterstützte Definitionen,Ορισμοί με τη βοήθεια AI,Definiciones asistidas por IA,Tekoälyn kirjoittamat selitykset,Définitions assistées par IA,एआई-सहायता प्राप्त परिभाषाएं,Definicije uz pomoć umjetne inteligencije,MI-vel készült meghatározások,Definisi didukung AI,Definizioni assistite da IA,AI による定義サポート,AI 기반 단어 정의,Takrifan berbantukan AI,Forklaringer skrevet med KI,AI-ondersteunde definities,Definicje wspomagane przez AI,Definições escritas com IA,Definições escritas com IA,Definiții cu ajutorul AI,Определения с помощью ИИ,Definície s pomocou AI,Дефиниције уз помоћ вештачке интелигенције,AI-assisterade definitioner,คำนิยามที่ AI ช่วยเขียน,Yapay zeka destekli tanımlar,Визначення за допомогою ШІ,Định nghĩa hỗ trợ bởi AI,AI 辅助智能释义
Review with flashcards,docs/_includes/pages/home.html,Преговор с флаш карти,Opakování s kartičkami,Repetition med flashcards,Mit Karteikarten wiederholen,Επανάληψη με κάρτες flashcard,Repasa con tarjetas didácticas,Kertaus muistikorteilla,Révisez avec des cartes mémoire,फ़्लैशकार्ड के साथ समीक्षा करें,Ponavljanje uz flash kartice,Ismétlés tanulókártyákkal,Tinjau dengan kartu kilat,Ripassa con le flashcard,単語カードで復習,플래시카드로 복습,Ulang kaji dengan kad imbas,Repetisjon med flash-kort,Oefen met flitskaarten,Powtarzaj za pomocą fiszek,Revisão com cartões de memória,Revisão com flashcards,Recapitulare cu cartonașe,Повторение по карточкам,Opakovanie s kartičkami,Понављање уз флеш-картице,Repetera med flashkort,ทบทวนด้วยแฟลชการ์ด,Bilgi kartlarıyla tekrar yapın,Повторюйте за допомогою флешкарток,Ôn tập với thẻ ghi nhớ,使用间隔复习卡片巩固
Quiz yourself — choices or typing,docs/_includes/pages/home.html,Проверете се — избор или писане,Vyzkoušejte se — výběr nebo psaní,Test dig selv — valg eller indtastning,Testen Sie sich — Auswahl oder Eingabe,Δοκιμάστε τις γνώσεις σας — επιλογή ή πληκτρολόγηση,Ponte a prueba: opciones o escritura,Testaa itsesi — valinta vai kirjoitus,Testez-vous — choix ou saisie,स्वयं को परखें — विकल्प या टाइपिंग,Provjerite se — izbor ili upisivanje,Tedd próbára magad — választás vagy gépelés,Uji diri Anda — pilihan atau mengetik,Mettiti alla prova — scelta o digitazione,自分をテスト — 選択か入力か,스스로 시험하기 — 선택 또는 입력,Uji diri anda — pilihan atau menaip,Test deg selv — valg eller skriving,Test jezelf — keuze of typen,Sprawdź się — wybór albo wpisywanie,Ponha-se à prova — opções ou escrita,Teste você mesmo — opções ou digitação,Testează-te — alegere sau tastare,Проверьте себя — выбор или ввод,Vyskúšajte sa — výber alebo písanie,Проверите се — избор или куцање,Testa dig själv — alternativ eller skriva,ทดสอบตัวเอง — เลือกตอบหรือพิมพ์,Kendinizi test edin — seçenek ya da yazma,Перевірте себе — вибір або введення,Tự kiểm tra — chọn đáp án hay gõ chữ,自我测试 —— 选择还是输入
Read real articles in the app,docs/_includes/pages/home.html,Четете истински статии в приложението,Čtěte skutečné články přímo v aplikaci,Læs rigtige artikler inde i appen,Echte Artikel in der App lesen,Διαβάστε πραγματικά άρθρα στην εφαρμογή,Lee artículos reales en la aplicación,Lue oikeita artikkeleita sovelluksessa,Lisez de vrais articles dans l'application,ऐप में वास्तविक लेख पढ़ें,Čitajte prave članke u samoj aplikaciji,Olvass valódi cikkeket az alkalmazásban,Baca artikel asli di dalam aplikasi,Leggi articoli reali nell'app,アプリ内で実際の記事を読む,앱에서 실제 기사 읽기,Baca artikel sebenar dalam aplikasi,Les ekte artikler inne i appen,Lees echte artikelen in de app,Czytaj prawdziwe artykuły w aplikacji,Leia artigos a sério dentro da aplicação,Leia artigos de verdade dentro do app,Citește articole adevărate chiar în aplicație,Чтение реальных статей в приложении,Čítajte skutočné články priamo v aplikácii,Читајте праве чланке у самој апликацији,Läs riktiga artiklar i appen,อ่านบทความจริงได้ในแอป,Uygulamada gerçek makaleler okuyun,Читайте справжні статті в застосунку,Đọc các bài báo thực tế trong ứng dụng,应用内阅读真实文章
New,docs/_includes/pages/home.html,Ново,Nové,Ny,Neu,Νέες,Nuevo,Uusi,Nouveau,नया,Novo,Új,Baru,Nuovo,新規,신규,Baharu,Ny,Nieuw,Nowe,Novo,Novo,Nou,Новое,Nové,Ново,Nya,ใหม่,Yeni,Нове,Mới,生词
Reviewing,docs/_includes/pages/home.html,Преговаряне,Opakované,Repeteres,Wiederholen,Σε επανάληψη,En repaso,Kerrattava,En révision,समीक्षा जारी,Ponavljanje,Áttekintés alatt,Sedang Ditinjau,In ripasso,復習中,복습 중,Menyemak,Repeterer,Herhalen,W trakcie powtórek,A rever,Revisando,În curs de recapitulare,На повторении,Opakuje sa,Понављање,Repeteras,กำลังทบทวน,Tekrar ediliyor,Переглянуто,Đang ôn tập,复习中
Learning,docs/_includes/pages/home.html,Учене,Učení,Lærer,Lernen,Εκμάθηση,En aprendizaje,Opitaan,En cours d'apprentissage,सीख रहे हैं,Učenje,Tanulás,Sedang Dipelajari,In apprendimento,学習中,학습 중,Pembelajaran,Læring,Leren,W nauce,Aprendizagem,Aprendizado,Învățare,Изучается,Učenie,Учење,Inlärning,การเรียนรู้,Öğreniliyor,Вивчається,Đang học,学习中
Mastered,docs/_includes/pages/home.html,Овладени,Zvládnuto,Mestret,Gemeistert,Κατακτημένες,Dominado,Hallitut,Maîtrisé,महारत हासिल की,Svladano,Elsajátítva,Dikuasai,Padroneggiato,習得済み,마스터함,Dikuasai,Mestret,Beheerst,Opanowane,Dominado,Dominadas,Stăpânite,Освоено,Zvládnuté,Савладано,Bemästrade,เชี่ยวชาญแล้ว,Öğrenildi,Засвоєно,Đã thành thạo,已精通
